Variabel,Ketinggian,Panjang (cm)
Panjang Daun (cm),Pesisir,6.545
Panjang Daun (cm),Menengah (100-300 mdpl),4.765
Panjang Daun (cm),Tinggi (>800 mdpl),7.25
Lebar Daun (cm),Pesisir,3.125
Lebar Daun (cm),Menengah (100-300 mdpl),2.595
Lebar Daun (cm),Tinggi (>800 mdpl),3.025
Diameter Batang (cm),Pesisir,1.9425
Diameter Batang (cm),Menengah (100-300 mdpl),2.9045
Diameter Batang (cm),Tinggi (>800 mdpl),5.38
Panjang Nodus (cm),Pesisir,2.275
Panjang Nodus (cm),Menengah (100-300 mdpl),1.655
Panjang Nodus (cm),Tinggi (>800 mdpl),1.55
Tinggi Tanaman (cm),Pesisir,34.56
Tinggi Tanaman (cm),Menengah (100-300 mdpl),40.66
Tinggi Tanaman (cm),Tinggi (>800 mdpl),60.5375
